,Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Ef_pred,Facies_pred,Env_pred
121,4670.5,B-1,Vulcan Fm,83.5888,2.3291,2.3188,19.63,2.6525,82.3937,,1,1,4
122,4671.0,B-1,Vulcan Fm,97.0672,2.1769,2.2113,19.71,2.6742,84.2451,,1,1,4
123,4671.5,B-1,Vulcan Fm,105.5678,2.1388,2.1055,20.0,2.7028,86.104,,1,1,4
124,4672.0,B-1,Vulcan Fm,113.4315,3.0010000000000003,2.9560000000000004,23.03,2.6662,85.0256,,1,1,4
125,4672.5,B-1,Vulcan Fm,87.5924,2.9469,2.9173,20.77,2.6766,82.3931,,1,1,4
126,4673.0,B-1,Vulcan Fm,110.1876,2.7834,2.719,21.64,2.725,87.4154,,1,1,4
127,4673.5,B-1,Vulcan Fm,100.7249,3.3328,3.2828,21.91,2.6781,87.2893,,1,1,4
128,4674.0,B-1,Vulcan Fm,113.3583,3.2185,3.2054,22.87,2.6321,87.2986,,1,1,4
129,4674.5,B-1,Vulcan Fm,81.4168,2.9854,2.9733,22.77,2.6295,85.0155,,1,1,4
130,4675.0,B-1,Vulcan Fm,88.1269,3.2011,3.1423,19.2,2.6542,87.8262,,1,1,4
131,4675.5,B-1,Vulcan Fm,99.8975,3.3893,3.2996,19.63,2.7506,88.3101,,1,1,4
132,4676.0,B-1,Vulcan Fm,100.2569,3.2964,3.2335,22.05,2.6797,86.8952,,1,1,4
133,4676.5,B-1,Vulcan Fm,84.2696,3.196,3.1259,20.72,2.6615,87.1324,,1,1,4
134,4677.0,B-1,Vulcan Fm,101.1075,3.2614,3.1781,20.01,2.6874,91.4605,,1,1,4
135,4677.5,B-1,Vulcan Fm,93.3818,3.1339,3.0615,19.91,2.6489,86.4954,,1,1,4
136,4678.0,B-1,Vulcan Fm,94.3268,3.1216,3.0232,19.55,2.645,86.5516,,1,1,4
137,4678.5,B-1,Vulcan Fm,105.3874,2.8285,2.7612,20.67,2.6309,85.1757,,1,1,4
138,4679.0,B-1,Vulcan Fm,95.6449,3.0928,3.0072,19.88,2.6333,85.9371,,1,1,4
139,4679.5,B-1,Vulcan Fm,100.4444,3.0180000000000002,2.9548,21.28,2.6403,85.8962,,1,1,4
140,4680.0,B-1,Vulcan Fm,94.20299999999999,3.0806,3.0017,21.24,2.6244,81.9405,,1,1,4
141,4680.5,B-1,Vulcan Fm,95.3425,2.8508,2.7909,20.2,2.6660000000000004,84.855,,1,1,4
142,4681.0,B-1,Vulcan Fm,95.7741,3.0394,2.9874,19.92,2.7396,87.2838,,1,1,4
143,4681.5,B-1,Vulcan Fm,82.5146,2.502,2.4325,19.32,2.6811,84.8737,,1,1,4
144,4682.0,B-1,Vulcan Fm,86.5546,2.7767,2.6875,21.81,2.6809,81.0868,,1,1,4
145,4682.5,B-1,Vulcan Fm,85.6753,3.1528,3.0802,19.4,2.6636,84.8203,,1,1,4
146,4683.0,B-1,Vulcan Fm,88.3167,3.5908,3.5108,20.22,2.648,83.98,,1,1,4
147,4683.5,B-1,Vulcan Fm,98.6734,3.4198,3.3588,19.79,2.6472,85.0897,,1,1,4
148,4684.0,B-1,Vulcan Fm,103.5489,3.4345,3.3654,18.87,2.6423,85.4168,,1,1,4
149,4684.5,B-1,Vulcan Fm,108.3136,2.8912,2.7814,22.98,2.6472,83.5077,,1,1,4
