Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4661,P-2,Montara Fm,113.9514,23.6094,2.6468,78.6995,-999.25,4
4661.5,P-2,Montara Fm,117.5856,21.6741,2.6772,77.7182,-999.25,4
4662,P-2,Montara Fm,126.7873,23.6253,2.636,79.8258,-999.25,4
4662.5,P-2,Montara Fm,114.6642,20.6562,2.6541,75.9173,-999.25,4
4663,P-2,Montara Fm,113.4875,22.2461,2.6513,73.9143,-999.25,4
4663.5,P-2,Montara Fm,120.4634,22.0388,2.653,78.3426,-999.25,4
4664,P-2,Montara Fm,129.2814,23.3211,2.6305,80.506,-999.25,4
4664.5,P-2,Montara Fm,115.8769,22.6877,2.6913,75.8871,-999.25,4
4665,P-2,Montara Fm,116.1283,23.1546,2.6454,77.1804,-999.25,4
4665.5,P-2,Montara Fm,122.191,23.3065,2.6349,79.8343,-999.25,4
4666,P-2,Montara Fm,126.5549,25.4588,2.657,80.4755,-999.25,4
4666.5,P-2,Montara Fm,122.0548,24.5055,2.6593,79.1338,-999.25,4
4667,P-2,Montara Fm,122.5839,24.6264,2.6617,78.172,-999.25,4
4667.5,P-2,Montara Fm,127.9261,25.638,2.6302,77.9062,-999.25,4
4668,P-2,Montara Fm,125.5935,25.8363,2.6474,76.9474,-999.25,4
4668.5,P-2,Montara Fm,123.548,26.4137,2.6536,78.0834,-999.25,4
4669,P-2,Montara Fm,128.4245,23.9856,2.6471,77.7282,-999.25,4
4669.5,P-2,Montara Fm,129.1832,24.286,2.6485,80.5234,-999.25,4
4670,P-2,Montara Fm,133.9682,25.6192,2.6358,80.5996,-999.25,4
4670.5,P-2,Montara Fm,128.0856,26.0158,2.6673,79.954,-999.25,4
4671,P-2,Montara Fm,130.1749,27.9669,2.6466,81.2928,-999.25,4
4671.5,P-2,Montara Fm,120.3535,26.9105,2.6448,80.1879,-999.25,4
4672,P-2,Montara Fm,134.2861,27.3424,2.6447,80.1367,-999.25,4
4672.5,P-2,Montara Fm,127.5021,27.8805,2.6636,78.134,-999.25,4
4673,P-2,Montara Fm,131.9775,27.7427,2.6658,78.7814,-999.25,4
4673.5,P-2,Montara Fm,126.9215,27.5412,2.6562,79.8574,-999.25,4
4674,P-2,Montara Fm,130.3131,27.7997,2.6521,81.1786,-999.25,4
4674.5,P-2,Montara Fm,132.7663,26.4237,2.6489,81.4079,-999.25,4
4675,P-2,Montara Fm,136.8628,27.9436,2.6592,82.8935,-999.25,1
4675.5,P-2,Montara Fm,149.8805,27.3576,2.6282,83.9763,-999.25,1
4676,P-2,Montara Fm,150.8995,27.1499,2.6102,84.5491,-999.25,1
4676.5,P-2,Montara Fm,156.5977,27.837,2.6128,84.2831,-999.25,1
4677,P-2,Montara Fm,150.4283,26.8111,2.6313,84.7359,-999.25,1
4677.5,P-2,Montara Fm,145.0193,25.7852,2.631,85.1396,-999.25,1
4678,P-2,Montara Fm,138.497,26.9346,2.6151,84.8138,-999.25,1
4678.5,P-2,Montara Fm,131.3997,28.1474,2.6311,82.2913,-999.25,1
4679,P-2,Montara Fm,127.2083,27.8664,2.649,82.1032,-999.25,1
4679.5,P-2,Montara Fm,123.5438,25.1519,2.6513,83.5159,-999.25,1
