Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4648,P-2,Montara Fm,119.7824,1.8646,1.853,21.4701,2.6431,82.6388,-999.25,1
4648.5,P-2,Montara Fm,115.6983,2.0477,2.0024,20.8508,2.6418,81.0356,-999.25,1
4649,P-2,Montara Fm,116.9592,2.0159,2.0186,22.3522,2.6582,82.9808,-999.25,1
4649.5,P-2,Montara Fm,125.3529,1.7947,1.7761,22.0916,2.6374,84.7832,-999.25,1
4650,P-2,Montara Fm,118.042,2.0374,2.0294,21.1431,2.6512,83.7748,-999.25,1
4650.5,P-2,Montara Fm,122.0755,1.9413,1.9072,21.7983,2.65,83.5351,-999.25,1
4651,P-2,Montara Fm,124.3706,1.9322,1.9412,20.8988,2.6389,84.2796,-999.25,1
4651.5,P-2,Montara Fm,120.3089,2.1596,2.1302,17.4755,2.6208,79.3403,-999.25,1
4652,P-2,Montara Fm,118.4811,2.5299,2.5703,16.9467,2.6187,78.4016,-999.25,1
4652.5,P-2,Montara Fm,105.9796,3.1424,3.046,14.9804,2.6952,73.7058,-999.25,1
4653,P-2,Montara Fm,77.7029,4.0641,4.0366,11.4565,2.6548,68.1024,-999.25,1
4653.5,P-2,Montara Fm,77.62,3.6636,3.4958,11.506,2.6071,74.9269,-999.25,1
4654,P-2,Montara Fm,97.2085,1.9165,1.9498,17.4438,2.5983,86.8868,-999.25,1
4654.5,P-2,Montara Fm,149.3956,2.0602,2.0753,24.103,2.617,84.8666,-999.25,1
4655,P-2,Montara Fm,147.7948,2.4548,2.3615,23.2275,2.6281,79.6048,-999.25,1
4655.5,P-2,Montara Fm,142.3679,2.546,2.4775,23.8123,2.6375,81.2476,-999.25,1
4656,P-2,Montara Fm,136.5124,2.667,2.6381,24.8787,2.6196,80.8743,-999.25,1
4656.5,P-2,Montara Fm,133.4717,2.694,2.6486,23.8208,2.6452,81.17,-999.25,1
4657,P-2,Montara Fm,131.6368,2.652,2.6158,25.8197,2.6347,81.0517,-999.25,1
4657.5,P-2,Montara Fm,128.2212,2.7297,2.7114,26.1503,2.6247,80.5033,-999.25,1
4658,P-2,Montara Fm,123.043,2.9951,2.9446,24.6211,2.6275,81.2722,-999.25,1
4658.5,P-2,Montara Fm,120.3928,3.0597,2.9741,24.7797,2.6777,77.7821,-999.25,1
4659,P-2,Montara Fm,132.0444,2.8517,2.8217,25.7668,2.632,81.5804,-999.25,1
4659.5,P-2,Montara Fm,129.401,2.8532,2.8147,26.2535,2.6412,81.543,-999.25,1
4660,P-2,Montara Fm,124.6977,3.1001,3.0505,24.1108,2.6392,79.9015,-999.25,1
4660.5,P-2,Montara Fm,125.3819,3.2388,3.1786,25.5873,2.6426,78.7392,-999.25,1
4661,P-2,Montara Fm,113.9514,3.5086,3.4016,23.6094,2.6468,78.6995,-999.25,1
4661.5,P-2,Montara Fm,117.5856,3.6546,3.6278,21.6741,2.6772,77.7182,-999.25,1
4662,P-2,Montara Fm,126.7873,3.3503,3.349,23.6253,2.636,79.8258,-999.25,1
4662.5,P-2,Montara Fm,114.6642,4.0971,4.0529,20.6562,2.6541,75.9173,-999.25,1
4663,P-2,Montara Fm,113.4875,4.2221,4.0563,22.2461,2.6513,73.9143,-999.25,1
4663.5,P-2,Montara Fm,120.4634,3.4643,3.4808,22.0388,2.653,78.3426,-999.25,1
4664,P-2,Montara Fm,129.2814,3.2187,3.1984,23.3211,2.6305,80.506,-999.25,1
4664.5,P-2,Montara Fm,115.8769,3.823,3.7483,22.6877,2.6913,75.8871,-999.25,1
4665,P-2,Montara Fm,116.1283,3.7331,3.6577,23.1546,2.6454,77.1804,-999.25,1
4665.5,P-2,Montara Fm,122.191,3.5296,3.4822,23.3065,2.6349,79.8343,-999.25,1
4666,P-2,Montara Fm,126.5549,3.3761,3.3492,25.4588,2.657,80.4755,-999.25,1
4666.5,P-2,Montara Fm,122.0548,3.6271,3.5576,24.5055,2.6593,79.1338,-999.25,1
4667,P-2,Montara Fm,122.5839,3.759,3.7017,24.6264,2.6617,78.172,-999.25,1
4667.5,P-2,Montara Fm,127.9261,3.628,3.5583,25.638,2.6302,77.9062,-999.25,1
4668,P-2,Montara Fm,125.5935,3.5738,3.5769,25.8363,2.6474,76.9474,-999.25,1
4668.5,P-2,Montara Fm,123.548,3.4374,3.3916,26.4137,2.6536,78.0834,-999.25,1
4669,P-2,Montara Fm,128.4245,3.6928,3.619,23.9856,2.6471,77.7282,-999.25,1
4669.5,P-2,Montara Fm,129.1832,3.6264,3.6128,24.286,2.6485,80.5234,-999.25,1
4670,P-2,Montara Fm,133.9682,3.838,3.7431,25.6192,2.6358,80.5996,-999.25,1
4670.5,P-2,Montara Fm,128.0856,3.9231,3.8867,26.0158,2.6673,79.954,-999.25,1
4671,P-2,Montara Fm,130.1749,3.7066,3.652,27.9669,2.6466,81.2928,-999.25,1
4671.5,P-2,Montara Fm,120.3535,3.8617,3.8327,26.9105,2.6448,80.1879,-999.25,1
4672,P-2,Montara Fm,134.2861,3.5568,3.4828,27.3424,2.6447,80.1367,-999.25,1
4672.5,P-2,Montara Fm,127.5021,3.4266,3.4539,27.8805,2.6636,78.134,-999.25,1
4673,P-2,Montara Fm,131.9775,3.4213,3.3374,27.7427,2.6658,78.7814,-999.25,1
4673.5,P-2,Montara Fm,126.9215,3.5103,3.4786,27.5412,2.6562,79.8574,-999.25,1
4674,P-2,Montara Fm,130.3131,3.5785,3.5117,27.7997,2.6521,81.1786,-999.25,1
4674.5,P-2,Montara Fm,132.7663,3.3962,3.3095,26.4237,2.6489,81.4079,-999.25,1
4675,P-2,Montara Fm,136.8628,3.072,3.0163,27.9436,2.6592,82.8935,-999.25,1
4675.5,P-2,Montara Fm,149.8805,3.1041,3.0555,27.3576,2.6282,83.9763,-999.25,1
4676,P-2,Montara Fm,150.8995,3.2282,3.1497,27.1499,2.6102,84.5491,-999.25,1
4676.5,P-2,Montara Fm,156.5977,3.3344,3.2648,27.837,2.6128,84.2831,-999.25,1
4677,P-2,Montara Fm,150.4283,3.255,3.2401,26.8111,2.6313,84.7359,-999.25,1
4677.5,P-2,Montara Fm,145.0193,3.2194,3.2177,25.7852,2.631,85.1396,-999.25,1
4678,P-2,Montara Fm,138.497,3.5818,3.5497,26.9346,2.6151,84.8138,-999.25,1
4678.5,P-2,Montara Fm,131.3997,3.7481,3.6823,28.1474,2.6311,82.2913,-999.25,1
4679,P-2,Montara Fm,127.2083,3.7512,3.6676,27.8664,2.649,82.1032,-999.25,1
4679.5,P-2,Montara Fm,123.5438,3.735,3.6808,25.1519,2.6513,83.5159,-999.25,1
4680,P-2,Montara Fm,129.1928,3.4401,3.3941,26.1493,2.6423,83.4637,-999.25,1
4680.5,P-2,Montara Fm,127.9006,3.471,3.447,27.4036,2.6402,84.1582,-999.25,1
4681,P-2,Montara Fm,136.5105,3.6048,3.5091,25.3893,2.6351,84.0626,-999.25,1
4681.5,P-2,Montara Fm,134.4285,3.6516,3.6264,27.1674,2.6342,83.416,-999.25,1
4682,P-2,Montara Fm,138.6548,3.4067,3.3363,28.3453,2.6515,84.0269,-999.25,1
4682.5,P-2,Montara Fm,135.8996,3.4494,3.4026,27.9128,2.6276,85.3723,-999.25,1
4683,P-2,Montara Fm,136.422,3.2142,3.1682,29.4508,2.6124,85.3057,-999.25,1
4683.5,P-2,Montara Fm,151.1666,3.2818,3.1712,29.1315,2.6036,84.9166,-999.25,1
4684,P-2,Montara Fm,151.6958,2.6242,2.5784,23.372,2.6361,79.2143,-999.25,1
4684.5,P-2,Montara Fm,132.758,2.4683,2.4462,21.0452,2.6989,79.7487,-999.25,1
4685,P-2,Montara Fm,133.0875,2.5033,2.4684,18.7445,2.6853,79.6028,-999.25,1
4685.5,P-2,Montara Fm,131.062,2.5192,2.4967,18.0078,2.6752,80.9573,-999.25,1
4686,P-2,Montara Fm,143.4558,2.8261,2.7443,19.7588,2.6955,81.3524,-999.25,1
4686.5,P-2,Montara Fm,135.7502,2.9826,2.9342,20.5799,2.6943,82.0342,-999.25,1
4687,P-2,Montara Fm,149.7471,2.6078,2.5575,23.7395,2.6648,77.5723,-999.25,1
4687.5,P-2,Montara Fm,154.1744,2.7023,2.7023,25.6714,2.6585,78.4951,-999.25,1
4688,P-2,Montara Fm,140.7577,2.7967,2.7334,22.8918,2.7018,82.3386,-999.25,1
4688.5,P-2,Montara Fm,129.7945,2.9453,2.8971,22.2115,2.7224,79.862,-999.25,1
4689,P-2,Montara Fm,141.0569,2.6265,2.6341,23.4911,2.6968,79.2739,-999.25,1
4689.5,P-2,Montara Fm,140.3182,2.654,2.6232,23.5997,2.6853,81.149,-999.25,1
4690,P-2,Montara Fm,131.1314,2.9468,2.8643,22.7862,2.7213,80.3644,-999.25,1
4690.5,P-2,Montara Fm,136.5836,2.7983,2.7614,23.0822,2.7012,78.9166,-999.25,4
